product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
Women's YPB studioFLEX Bike Short | Women's Bottoms | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/YMRpXxlkGmufV_JJJ4NchjvOW9vlaAFYX8lZ4cID4m6FTI76SdGqxAqcbri1vGeOiddkYyOd5LV0ABvHnvTx9wn.c4zRaF_7u.BdRk8Yh7OwYrPcqg2KoZbWdDknkBfeQdAlZAyLqqg.0KltIZpirdmqrvGPW.CNlCw-?v=2,,"Our ultra high rise active 5 inch (13 cm) bike shorts in our studioFLEX fabric. Designed to hold you in, our studioFLEX fabric is lightweight, buttery soft and nonrestrictive providing a barely there feel, it moves with you during low impact activity and is also great for all-day wear. Features a smoothing double-layer waistband with no center front seam and flattering v-shaped back seaming detail.",40.00,USD,https://www.abercrombie.com/shop/us/p/ypb-studioflex-bike-short-58860467?faceout=life&seq=04&pagefm=navigation-grid&prodvm=navigation-grid,162,68.95000000000,4,12,12128,0.024691,0.074074
Unisex Nike Sportswear Tech Fleece Girls' Oversized Hoodie in Black | HF8188-010,Nike (US),https://product-images-cdn.liketoknow.it/MkTZYytNvh_BSmaqwgo039RtMQcd5QYYlKqe2oVIEnciImgGf.NPR27C3sWdG4wLfDI7lfsxTCGfi.WIe962SM_tIJvmC3U6U3ARxd8D_zUVUXvmRg0h03RbhIQNhtyrJX6SqD7KM1NwdBMoa.R9tI77ad4__shTZi_9VZcCLFF1kJa.efeyl9N2pjY-,,"After setting the bar for premium warmth, comfort and style, Tech Fleece is entering a new era. Oversized sleeves, a subtly cropped hem and an extra tall collar help this spacious hoodie give you a look that stands out. Plus, our premium, lightweight fleece still offers plenty of warmth without adding bulk. Benefits:Slightly dropped shoulders and a spacious fit through the body help make for easy comfort and layering. Extended collar helps provide extra coverage and warmth. Darts along the hem in the front and back help add structure and dimension to your look. [] Product Details:53% cotton/47% polyester. Front pocket. Nike Futura logo. Machine wash. Imported. Style: HF8188; Color: Black/Black; Size: M; Gender: Unisex; Age Group: Kids | Nike Sportswear Tech Fleece Girls' Oversized Hoodie in Black, Size: Medium | HF8188-010",62.97,USD,https://www.nike.com/t/sportswear-tech-fleece-girls-oversized-hoodie-GFnTBt/HF8188-010?nikegos=true,116,66.02120000000,4,5,1104,0.034482,0.043103
Women's Wool-Blend Bubble Hem Coat | Women's Coats & Jackets | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/9t.HaTuRo.IuCGAPr0sgEkJZCGNuDuP2t5HsszygReqZ8.ZTxqW2f_0e1fTwRnqQuirkmxopzRz1DykCjXLtKglZAOV06BAZipnmUrKg1ZXtf65V8AU1xHQzL31RGMeOi5_MxxF5aUy039_.TaYG.gxNrkQKc8M-?v=2,,"Our new on-trend coat in our soft wool-blend fabric, featuring on-trend bubble hem, light recycled fill, zip-up front, classic fold-down collar and side entry pockets.",170.00,USD,https://www.abercrombie.com/shop/us/p/wool-blend-bubble-hem-coat-61230819?faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,234,63.10500000000,4,15,12128,0.017094,0.064102
Women's Low Rise 90s Relaxed Jean | Women's Clearance | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/L.adqKsf1nWzTmpAUm5uLoWNtOukB3Ccuz_2aeMJePvQq7y7hy0r0WWMIPK3Ykz69D66_vMPzGRrvJnFEPaCje_YxAUJed2wKKxsxIJcxdJdk7ALNMacdyfnrP.7vKP36h_BKCebXXWh9iNe4fB9PoVqGlwjylf_hfOX_sBMiAb9hysbDIkk?v=2,,"Our classic relaxed jeans in a medium wash, with distressed details and a clean hem. This fit features a low rise, is fitted at the waist and hips, and eases at the thigh into a relaxed, full-length leg shape. This jean is made from our vintage stretch fabric which features both an authentic vintage look and contains slight built-in stretch for additional comfort.",100.00,USD,https://www.abercrombie.com/shop/us/p/low-rise-90s-relaxed-jean-60860904?categoryId=12290&faceout=model&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,131,63.00000000000,9,16,27288,0.068702,0.122137
Interval High Rise Perforated Legging,Athleta,https://product-images-cdn.liketoknow.it/Qu8KgjxYCOCw9SV6ZRE8Wag4lYOmPpHrYcydp17tXSXcJ71J6ZEO5_RUdiDlNyVm_Uy6VcLfty_ynWhJAckyb_45HOD_fCRemTnd7zUDAtJDIqow3F3dHoz.?v=2,,Interval High Rise Perforated Legging | Athleta,69.30,USD,https://athleta.gap.com/browse/product.do?pid=769058022&searchText=7690580220002&vid=1#pdp-page-content,9,60.46600000000,3,17,528,0.333333,1.888888
Open Edit Faux Leather Wrap Miniskirt | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/0ViEBhJMpJE9ItUUbmzSw2FHQ44ZmQG.H27HMoF5wZghc9kEwMxhIhvGou0ARwPL0BDUPdKXNMYSIDPvNyWbAvwf7YRilqJMw1rmaOPcz5IaxMs8U3FmPQLU2zpVZva_f33N09IyjOPi4R2h06R0gmCCb6EEM_ZFO5G0tSCM09yqsw--?v=2,,Free shipping and returns on Open Edit Faux Leather Wrap Miniskirt at Nordstrom.com. <p>Rich faux leather elevates this leggy-length skirt made with a wrapped front and an asymmetric hem.</p>,69.50,USD,https://www.nordstrom.com/s/faux-leather-wrap-miniskirt/8341560,917,59.59800000000,13,21,13286,0.014176,0.022900
Women's A&F Carrie Wool-Blend Trench Coat | Women's Coats & Jackets | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/oxi5WVwD9OFxCQjaB0IzzD_9bVUbi.JH05HkxEEjBs_2Ld3Bw1d325lttqJr34ARhje3vPk_1doJIzPcyjZOA5MvhnHc3Uzf_efyewMW4jYFnp0n2iOZXN28XHSCe8mARK6X.7D83.o5E6JPuM.uSFMLWwCjU1Y-?v=2,,"Our new on-trend trench coat in our soft wool-blend fabric with an easy, relaxed-fit silhouette. This long-length cozy coat features classic trench details with double-breasted button closure and tie-front belt.",230.00,USD,https://www.abercrombie.com/shop/us/p/a-and-f-carrie-trench-coat-61005325?categoryId=12252&faceout=model&seq=04&pagefm=navigation-grid&prodvm=navigation-grid,107,54.60000000000,2,5,6064,0.018691,0.046728
"Wunder Train Contour Fit High-Rise Tight 25"" | Women's Leggings/Tights | lululemon",Lululemon (US),https://product-images-cdn.liketoknow.it/NcEL1waMQTPie_sujPjOcqsk5bHTWySS5YkIOeINlR0yL38fiUSvqZyLszuPUSFxksufbYJrV4V056Di1QMhbyDusEpo3hTHxXuYhQrELFCpniqyhKKkxGgn_duaVnPgItkQtY4PC6QRiiGivi9mpSS6ABNFpEjgwK3HX3kFTN0wmEb0nb2qCK05UTb6cdJDkNnPcNpHvziAP4avRAbeIJy14BzjvPUma8AvDc7ZYbMDsn4NugMp_gRVss3Z3NbuTGEctLicQMOnGQ--?v=2,142157316,"Wunder Train Contour Fit High-Rise Tight 25"" | Women's Leggings/Tights | lululemon",98.00,USD,https://shop.lululemon.com/p/womens-leggings/Wunder-Train-HR-Tight-25-Contour/_/prod10990041?color=0001,52,53.13000000000,2,2,1412,0.038461,0.038461
"lululemon Align™ High-Rise Pant 25""",Lululemon (US),https://product-images-cdn.liketoknow.it/HUd3EjWXGM4bF_9y2KR.BWU0Ogf9JfLzdyr4dUj0NDstseGRrKIo4YAus_ngqzDTefMsJsghj599znzuoeEkNitEo0vkT9igMBmSSrwff1BKXHf.j1FDqipHMzXtmvVT34m2N69ecfTppHe7lSmhbwoPwHgm3EpBJDF0HdtEzejCCztrpD6lMIAf2JwsYyZtGedEetWcea6YS9jpVYYEa1xhtXdlgkOaLVU0EIQVYPutcQx0V3qEbMR1l0tGh4kOSFVFy6saJMNH9oYE?v=2,157685173,"When feeling nothing is everything. The lululemon Align™ collection is so weightless and buttery soft, all you feel is your practice.",98.00,USD,https://shop.lululemon.com/p/womens-leggings/lululemon-Align-High-Rise-Pant-25-Jacquard/_/prod20004847?utm_campaign=EM_TR_20251017_330538_TX_OC_US_WOMEN_E1_ESSM_0_0_0_0&utm_source=SFMC&utm_medium=Email&mcid=C4AB20D6-2F7D-4A28-8FE3-6BBC9893F502&ismcid=C4AB20D6-2F7D-4A28-8FE3-6BBC9893F502,384,52.50000000000,10,10,7060,0.026041,0.026041
Women's Easy Mockneck Sweater | Women's Tops | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/wCGrcosEQOO5uIv3Q81MRk26sLgBwYPbCW3WTvGRTIjNqhvB_10RfbKgva43OfkgEIjGO397fF2q86P_ghMTTkyHwi10umwglckYyxAKtZOFJ.DU4V5o3ZX8gcA3s715lx4Re_Twq2sr3_JHbVzMR7BoqCuF2tW81tMGNR7NDhaXSB5QElS9?v=2,,"Easy-fitting sweater in our super soft sweater yarn fabric, featuring rib trims at the mock neckline, cuffs and hem.",70.00,USD,https://www.abercrombie.com/shop/us/p/easy-cable-knit-mockneck-sweater-61410353?faceout=model&seq=03&pagefm=navigation-grid&prodvm=navigation-grid,184,51.80000000000,3,9,9096,0.016304,0.048913
Women's Denim Jumpsuit | Women's Dresses & Jumpsuits | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/aa6gtxxoWaGsZjEadjOrNMaGv54QLK6DgcHwKJi0V84iMKgc5ufidSFlziWIXL.jZeQQJFgv9ctHExGdNXhPAQD_JpAdul4hj2rI5._fb7F8XnAvepe1qJdNA271NVsYuU2xWXlEJJtyUu0szB57T7CD2GIh.Q--?v=2,,"Our short-sleeve jumpsuit in our comfortable denim fabric, featuring a straight-leg fit, classic collar, chest pockets with button-flap closure and side pockets.",130.00,USD,https://www.abercrombie.com/shop/us/p/denim-jumpsuit-56727342?faceout=model&seq=02&pagefm=navigation-grid&prodvm=navigation-grid,231,50.14100000000,4,12,12128,0.017316,0.051948
High Rise 90s Relaxed Jean,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/r.n.QUDhITpIok8G8dihM6m7m4gWASfGWLXU1sMYF6pTftGqa0OpXUqVuZRgHGnd5u6b5sk8yrxeCzJONaZvAOXab02AHMetuas8ctnVAdpl5ptqMR8_Lk8gyzqRKvzRT9oGBQ9QEFrvPHKWI7iPm29UgvsRx9hQirA-?v=2,,"Our classic 90s relaxed fit in a light wash, with distressed details and a cuffed hem. Features a high rise that is fitted at the waist through the seat to show off your best butt. Eases open through the thigh into a full-length, relaxed leg shape. Made from our Vintage Comfort Stretch fabric with structure and slight stretch.",82.50,USD,https://www.abercrombie.com/shop/us/p/high-rise-90s-relaxed-jean-60871319?faceout=model&seq=36&pagefm=navigation-swatch&prodvm=navigation-swatch,192,48.13900000000,5,11,15160,0.026041,0.057291
High Rise 90s Relaxed Jean,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/4_ffOynTMOuJTMvaZrZr.D2..MjWIISpsNP1cB2Aet9mQzbnJ_H61qSY2q.RKgyjc.wr9dm50ilhb2BDBW1dMfxDkPmNvcZXv1U5BPTHtAueIWoCY.vvVkFpqDZo_b4VvrSXWBCwZQ3LF5lFipyY4wq0UBLW11aeSkYF?v=2,,"Our classic 90s relaxed fit in a light wash, with knee blowout details and a raw hem. Features a high rise that is fitted at the waist through the seat to show off your best butt. Eases open through the thigh into a full-length, relaxed leg shape. Made from our Vintage Comfort Stretch fabric with structure and slight stretch.",75.00,USD,https://www.abercrombie.com/shop/us/p/high-rise-90s-relaxed-jean-59057832?categoryId=12261&faceout=life&seq=18&afsource=social+proofing,241,47.31300000000,5,16,15160,0.020746,0.066390
Halo Modern Sweatpant,Vuori Clothing (US & Canada),https://product-images-cdn.liketoknow.it/Za28FgOHe9MP8Iakx1.HnqZfML8TfAE3aBCxDfTS8dmgVRnylrgtHXGdcSyNemQTQWFfrsz0wQXff1WK6uzIlgbRMns82IRjowPDl.bsajns8k8kUHBFBsqCJZ0Xl2rJSeT6fU_6qOeIa8bAhobKuBzAZ47jFQ6UzqHLpP8txC1NjKgz6W92Ll_HcX5Y7kPylrx2F_uwcsEAqX1voiEHU6glhiK8Hw--?v=2,,"Shop the Halo Modern Sweatpant in Raisin at Vuori. These women’s sweatpants feature a semi-fitted shape, soft stretch & a refined waistband for daily wear.",98.00,USD,https://vuoriclothing.com/products/womens-halo-modern-sweatpant-raisin?queryId=838aa8dd82fdcc3bac32f2ab8e16387e&objectId=41437995303015,9,47.14500000000,2,2,563,0.222222,0.222222
New Balance Unisex 9060 Sneakers - Brown/Beige/Blue (Size 6),"New Balance Athletics, Inc.",https://product-images-cdn.liketoknow.it/A9h8FQWoy7HDN7nVAUwlZvC0ByW3Nu7lK5ZJtxuJMzkl4TEcqkZBJiHRSMF4oPWRZBgxgdVnA.N.KfaSrYnKeL0rfI02KM08PiLqTLQP9QY6WMW67yN7Uee6yf.TMpcR8B5XDmsbXgDe1DRCPIIsFG6BKydfsViNETDg_XoHEBjGOvblQaq4V9QJC7hl39Xu0f7K5at6aGdEuafn53dp_gUqJH3TTQUQbGP4RhllKguzaSr2v3QJfygG1KJT?v=2,,"Looking for other options? Shop the 9060 The 9060 is a new expression of the refined style and innovation-led design of the classic 99X series. The 9060 reinterprets familiar 99X elements with a warped sensibility inspired by the proudly futuristic, visible tech aesthetic of the Y2K era. Sway bars, taken from the 990, are expanded and utilized throughout the entire upper for a sense of visible motion, while wavy lines and scaled up proportions on a sculpted pod midsole place an exaggerated emphasis on the familiar cushioning platforms of ABZORB and SBS.",159.99,USD,https://www.newbalance.com/pd/9060/U9060ETN-D-06.html,54,46.95600000000,2,3,360,0.037037,0.055555
Women's Off-The-Shoulder Twist Top | Women's Tops | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/XO4iCyNPxIK39Lwhc5RBq0PKUTOGeWKUa3Abrp7tvxT0Ec7Zg.AIl9BZmRTDuGjg9F8rsiBokekSet7R0.OA7rFJVppSLvmDFZXknk23YBlrZt4heBH7RpG9seHlaEuYECEQddGvod8gyTJli6PN2NyCiEmvvbjPbq2VjBu2njRftyDeYIiz?v=2,,"Slim-fitting top in our softAF cotton-modal fabric, featuring off-the-shoulder detail and twisted detail on the neckline.",40.00,USD,https://www.abercrombie.com/shop/us/p/off-the-shoulder-twist-top-59070820?seq=04,3,44.07200000000,1,6,3032,0.333333,2.000000
Sportswear Tech Fleece Zip Hoodie,Nordstrom,https://product-images-cdn.liketoknow.it/sYgC1b8l_N1nmzHBOc7Q3XHppicqRLFRD1SBUALBx863de4jkclA3SPFQX6SS1CLNEo8RRQxY6_bABs1.1pBD0ABwEZ_uuzZD4Fbi51monDhKXrFQ8vUqCI_0EFVkp3omSL3EiNpg5Br6.DgfZlIOBse5oZNip3blY2ZQeDri7kMnegCI5kNnaUEGVcw_v4IFl41dIB.l5RbBTvYRZHXaylawbWLXPYJdqx7ffBC?v=2,,Free shipping and returns on Nike Sportswear Tech Fleece Zip Hoodie at Nordstrom.com. <p>Celebrate the 10-year anniversary of Nike Tech Fleece in an elevated zip hoodie inspired by the colors and textures of natural minerals.</p>,165.00,USD,https://www.nordstrom.com/s/nike-sportswear-tech-fleece-zip-hoodie-short-regular-tall/7293876,261,44.03000000000,6,10,5110,0.022988,0.038314
All It Takes Ribbed Nulu T-Shirt | Women's Short Sleeve Shirts & Tee's | lululemon,Lululemon (US),https://product-images-cdn.liketoknow.it/oPiQXn0EQVp8pW_IjG.yBLibZVOrMG.t5jV5_xMWFfH7W1.AVzvX7nhwt43PSYb1RysgKiHuUwPrzI_5zdmtix2XpY0zu6h6ZI6PSF1QOBp4n55CjfoHyb056UTcfX6qnTvVHdv37fqlTbnNXTut3rBTIL5haGbPjEUp0TwwrSsy9IPpSuxdSCagotuc_GgQ7Oxd9Q--?v=2,151654779,All It Takes Ribbed Nulu T-Shirt | Women's Short Sleeve Shirts & Tee's | lululemon,58.00,USD,https://shop.lululemon.com/p/womens-t-shirts/All-It-Takes-Ribbed-Nulu-T-Shirt/_/prod11380417?color=0002,43,43.89000000000,3,3,2118,0.069767,0.069767
Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™,Target,https://product-images-cdn.liketoknow.it/gPfb94MOkQ6bS39QYBG0zkieQZCmsMsEzVM9ypZ41o7tEU5tCQU.CGjXbe8bTxbkYsPJJsMDfuArVELIT0d0luJwt9TQP2aQedOvUBZBcIlXOA9rQhF1E4zsezoXV2KeFI.oyzDMWsJEVBjCGNGhU_Nd5ojyzX0GhW_K3ehbM7G3NFLDb4plOJ4-?v=2,,"Read reviews and buy Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™ at Target. Choose from contactless Same Day Delivery, Drive Up and more.",18.75,USD,https://www.target.com/p/women-s-short-sleeve-button-down-cardigan-universal-thread/-/A-94486227?preselect=94429817,68,41.76200000000,18,113,5389,0.264705,1.661764
New Balance Kids' 9060 Sneaker | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/h63iyFf3WeTlqZrnM5Rk.iDxi3c.co3iPS5NyCPfHDdmrvwH4pMLNJQNoIaTyLQUYfQqWiTsOYA8IQQnrrH9LguUwKLkxv1e_IeMe8rVdCrnwIyQgZDBWVxja7Ye6hylbpBc4pxjkHXJ4on7iW_zw5n2w8pHiGq2YENPsEGCD5B1.w--?v=2,,"Free shipping and returns on New Balance Kids' 9060 Sneaker at Nordstrom.com. <p>Chunky proportions, visible tech and forward momentum bring iconic Y2K energy to this kid-sized sneaker that fuses the best of the past with the comfort of the present. Easy-on laces and a translucent heel wrap keep the upper in motion, while the sculpted sole puts a fusion of impact-resistant cushioning under every step.</p>",104.99,USD,https://www.nordstrom.com/s/new-balance-kids-9060-sneaker-toddler-little-kid-big-kid/7717569,228,41.58000000000,5,7,5110,0.021929,0.030701
Women's Curve Love High Rise 90s Relaxed Jean | Women's Bottoms | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/fj3voArn_oFjd1RsPUO0jZrsux6YESNCIMllHWhOneOa5_dbzY25qbKSL5d8cEV_mP2I61gKBk7GoPNFhq4bMzEr0eacSGez1GvbPf2BAvh3y4MUb.5hrb9p3DxsqlR3WZLqGTZA4RVUd5_chhhLIPBWd32IWQ--?v=2,,"Our Curve Love 90s relaxed fit in a medium marble wash with a clean hem. Features a high rise that is fitted at the waist through the seat to show off your best butt. Eases open through the thigh into a full-length, relaxed leg shape. The viral fit that eliminates waist gap: Curve Love features additional room through the hip and thigh for curve-hugging comfort.  Made from our Vintage Comfort Stretch fabric with structure and slight stretch.",90.00,USD,https://www.abercrombie.com/shop/us/p/curve-love-high-rise-90s-relaxed-jean-59163343?categoryId=68190626&faceout=life&seq=16&afsource=social%20proofing,158,41.14600000000,7,17,18192,0.044303,0.107594
